seed,rmse,success,mu_state_1,mu_state_2,var_state,rho_state,mu_true_1,mu_true_2,var_true,rho_true,w_r,w_V,alpha,bias,complex_add,symmetry_add,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36
20,0.494259630119876,True,0.290119255265289,1.66739815089243,0.106918152660709,0.004085610198552,0.036348860664672,0.693147185974255,0.143399125368749,0.010662299305919,1,1,1.13092677311799E-15,3.1656097104501,0.290106411899194,1.66742219163217,4.16560970686031,3.83983354963233,3.16561192465628,3.16561148551771,4.16560970686031,3.83983354963233,3.16561192465628,3.16561148551771,4.16560970686031,3.83983354963252,3.16561192465628,3.16561148551771,4.16560970686031,3.83983354963229,3.16561192465628,3.16561148551771,4.16560970686031,3.83983354963248,3.16561192465628,3.16561148551771,4.16560970686031,3.83983354963233,3.16561192465628,3.16561148551771,4.16560970686031,3.83983354963237,3.16561192465628,3.16561148551771,4.16560970686031,3.83983354963232,3.16561192465628,3.16561148551771,4.16560970686031,3.83983354963237,3.16561192465628,3.16561148551771
21,0.494265570015382,True,0.375159965266812,1.68975062339133,0.145532794044306,-0.000617102131128,0.207478893334065,0.057212867745627,0.091368274317499,0.005542430070014,1,1,4.41351922965238E-19,3.17999821517856,0.375492972527897,1.68999028079595,4.17999763452141,3.79658445655449,3.18005312437633,3.18003145121444,4.17999763452141,3.79658445655449,3.18005312437633,3.18003145121444,4.17999763452141,3.79658445655449,3.18005312437633,3.18003145121444,4.17999763452141,3.79658445655449,3.18005312437633,3.18003145121444,4.17999763452141,3.79658445655449,3.18005312437633,3.18003145121444,4.17999763452141,3.79658445655449,3.18005312437633,3.18003145121444,4.17999763452141,3.79658445655449,3.18005312437633,3.18003145121444,4.17999763452141,3.79658445655449,3.18005312437633,3.18003145121444,4.17999763452141,3.79658445655449,3.18005312437633,3.18003145121444
22,0.494259310056415,True,0.137186695226447,0.809128024129154,0.022030187774116,0.000411538843392,0.172471625648361,0.343339350116563,0.073188013892152,0.003701552794948,1,1,0,3.17109882908453,0.137192352437357,0.809136343994597,4.17109882682626,3.82336958008106,3.17109917952382,3.17109908023553,4.17109882682626,3.82336958008106,3.17109917952382,3.17109908023553,4.17109882682626,3.82336958008106,3.17109917952382,3.17109908023553,4.17109882682626,3.82336958008106,3.17109917952382,3.17109908023553,4.17109882682626,3.82336958008106,3.17109917952382,3.17109908023553,4.17109882682626,3.82336958008106,3.17109917952382,3.17109908023553,4.17109882682626,3.82336958008106,3.17109917952382,3.17109908023553,4.17109882682626,3.82336958008106,3.17109917952382,3.17109908023553,4.17109882682626,3.82336958008106,3.17109917952382,3.17109908023553
23,0.494265917907782,True,0.265875746793733,1.33921049711527,0.089656836029024,0.001212488337261,0.220776640329967,0.685177059900044,0.027935513212922,0.000306259040569,1,1,1.71689006886251E-19,3.16560689476198,0.265609383136681,1.33886329293911,4.16560584055679,3.83976963103055,3.16565212624935,3.16563906882998,4.16560584055679,3.83976963103055,3.16565212624935,3.16563906882998,4.16560584055679,3.83976963103055,3.16565212624935,3.16563906882998,4.16560584055679,3.83976963103055,3.16565212624935,3.16563906882998,4.16560584055679,3.83976963103055,3.16565212624935,3.16563906882998,4.16560584055679,3.83976963103055,3.16565212624935,3.16563906882998,4.16560584055679,3.83976963103055,3.16565212624935,3.16563906882998,4.16560584055679,3.83976963103055,3.16565212624935,3.16563906882998,4.16560584055679,3.83976963103055,3.16565212624935,3.16563906882998
24,0.494260147686505,True,0.337511566782483,1.79581941605421,0.146464027657355,-0.016615143942303,0.363250314316333,0.751192558502619,0.992923965347159,0.311885858737031,1,1,1.59319122719147E-19,3.16556064820638,0.337390503288999,1.79591092572022,4.16556057725266,3.83996445475484,3.16557497876581,3.16556665589337,4.16556057725266,3.83996445475484,3.16557497876581,3.16556665589337,4.16556057725266,3.83996445475484,3.16557497876581,3.16556665589337,4.16556057725266,3.83996445475484,3.16557497876581,3.16556665589337,4.16556057725266,3.83996445475484,3.16557497876581,3.16556665589337,4.16556057725266,3.83996445475484,3.16557497876581,3.16556665589337,4.16556057725266,3.83996445475484,3.16557497876581,3.16556665589337,4.16556057725266,3.83996445475484,3.16557497876581,3.16556665589337,4.16556057725266,3.83996445475484,3.16557497876581,3.16556665589337
25,0.494259328737989,True,0.253156997531662,1.38866537909333,0.066987158044668,0.000531857280683,0.420624635489531,0.148571583755111,0.469182117665057,0.096332124849258,1,1,1.87296687091659E-31,3.17922195554513,0.253153660477275,1.38866802865939,4.17922195540856,3.79899987769541,3.17922251592702,3.17922231763568,4.17922195540856,3.79899987769541,3.17922251592702,3.17922231763568,4.17922195540856,3.79899987769541,3.17922251592702,3.17922231763568,4.17922195540856,3.79899987769541,3.17922251592702,3.17922231763568,4.17922195540856,3.79899987769541,3.17922251592702,3.17922231763568,4.17922195540856,3.79899987769541,3.17922251592702,3.17922231763568,4.17922195540856,3.79899987769541,3.17922251592702,3.17922231763568,4.17922195540856,3.79899987769541,3.17922251592702,3.17922231763568,4.17922195540856,3.79899987769541,3.17922251592702,3.17922231763568
26,0.494268156046614,True,0.278852425429793,1.39041181183471,0.098518767174467,0.00395143903523,0.872601187998887,0.194466709443453,0.072633077415036,0.002617693547456,1,1,2.84898000184767E-20,3.16576418703562,0.278885392820972,1.39016401154565,4.16576386603643,3.83927791052545,3.16581814070097,3.16580674940381,4.16576386603643,3.83927791052545,3.16581814070097,3.16580674940381,4.16576386603643,3.83927791052545,3.16581814070097,3.16580674940381,4.16576386603643,3.83927791052545,3.16581814070097,3.16580674940381,4.16576386603643,3.83927791052545,3.16581814070097,3.16580674940381,4.16576386603643,3.83927791052545,3.16581814070097,3.16580674940381,4.16576386603643,3.83927791052545,3.16581814070097,3.16580674940381,4.16576386603643,3.83927791052545,3.16581814070097,3.16580674940381,4.16576386603643,3.83927791052545,3.16581814070097,3.16580674940381
27,0.494259338442372,True,0.232320107005799,1.35789897441415,0.063247780257063,0.002816556537791,0.385280295024288,0.981355960552153,0.797796116388454,0.133479217959517,1,1,1.38085549304848E-19,3.17113573507604,0.232290294359745,1.35788858459703,4.17113572739924,3.82325864565988,3.17113618885745,3.17113610475009,4.17113572739924,3.82325864565988,3.17113618885745,3.17113610475009,4.17113572739924,3.82325864565988,3.17113618885745,3.17113610475009,4.17113572739924,3.82325864565988,3.17113618885745,3.17113610475009,4.17113572739924,3.82325864565988,3.17113618885745,3.17113610475009,4.17113572739924,3.82325864565988,3.17113618885745,3.17113610475009,4.17113572739924,3.82325864565988,3.17113618885745,3.17113610475009,4.17113572739924,3.82325864565988,3.17113618885745,3.17113610475009,4.17113572739924,3.82325864565988,3.17113618885745,3.17113610475009
28,0.494259322863576,True,0.276935151762383,1.68399836209713,0.096928310906023,0.001274194972513,0.884287996216181,1.04897033622327,0.033376852392655,0.000950825494492,1,1,4.07091038821119E-20,3.16586199037312,0.276936836409549,1.68400498057604,4.16586199013399,3.83907993616194,3.16586243274,3.16586230763073,4.16586199013399,3.83907993616194,3.16586243274,3.16586230763073,4.16586199013399,3.83907993616194,3.16586243274,3.16586230763073,4.16586199013399,3.83907993616194,3.16586243274,3.16586230763073,4.16586199013399,3.83907993616194,3.16586243274,3.16586230763073,4.16586199013399,3.83907993616194,3.16586243274,3.16586230763073,4.16586199013399,3.83907993616194,3.16586243274,3.16586230763073,4.16586199013399,3.83907993616194,3.16586243274,3.16586230763073,4.16586199013399,3.83907993616194,3.16586243274,3.16586230763073
29,0.233442185143739,True,0.269819513534117,0.055882187576838,3.18068230296952E-06,7.75658743882169E-12,0.361569032241926,0.517737598898192,0.533420524973706,0.242149938551476,1,1,4.17141072517762E-05,3.70649601189995,0.385928899294926,0.122139109185029,4.78849867984297,3.85969093613436,3.30893213135766,2.38012438805651,4.7680184985196,3.85479338533821,3.29126612367451,2.37804101090057,4.79618947408505,3.83117013438947,3.31943713922862,2.35441779999871,4.79044604624266,3.87722097304992,3.30850595482968,2.39528088198619,4.81861702070216,3.85359772099525,3.33667696927784,2.37165766997838,4.7833374720916,3.85844490860233,3.30447799284354,2.37958542964531,4.79036404643318,3.8524580365314,3.31150457713863,2.37359856758609,4.78897355639253,3.86408100291498,3.30881064853508,2.38391809534857,4.79600013061769,3.85809413072763,3.31583723277196,2.37793123323115
